ticket,region,departamento,ciudad,territorialidad,itsm_servicenow,workorder_salesforce,clientes_afectados,tecnologia,cantidad_nodos,cantidad_arpones,cmts,olt,interfaz,cable_padre,cable_hijo,nodo_vip,impacto,urgencia,grupo_whatsapp,descripcion,resumen,tecnico_asignado,avances,adjuntos,existe_en_cacti,fuente_voltaje,fuente_amperaje,flag_en_bateria,nodos_sector_en_bateria,forma_resolucion,restablecio_autonomo,hora_caida,hora_restablecimiento,fuente_monitoreo,correlacion_grafica_monitoreo,delta_correlacion_min,falla_simultanea_nodo_arpon,solucion_aplicada,tiempo_resolucion_min,requiere_notificacion,accion_recomendada
TKT-000011,ANDINA,Antioquia,Medellin,Urbano,INC3513677,WO-218639,114,GPON,0,2,,OLT_AND_26,GE0/1/35,CP_AND_011,,False,Alto,Critica,GRP_NOC_ANDINA,Degradacion de potencia optica,Degradacion de potencia optica (GPON) en Medellin,TEC_003,Diagnostico inicial registrado,4,False,0.0,0.0,False,0,CUADRILLA,False,2026-04-27 07:58:00,2026-04-27 12:20:00,ZABBIX,False,239,False,Reconfiguracion de la interfaz afectada,262,True,DESPACHAR_CUADRILLA
TKT-000012,COSTA,Bolivar,Cartagena,Rural,INC3823637,WO-960059,2226,GPON,0,7,,OLT_COS_23,GE0/4/20,CP_COS_012,,False,Medio,Baja,GRP_NOC_COSTA,Caida total del elemento de red,Caida total del elemento de red (GPON) en Cartagena,TEC_063,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-01-19 13:55:00,2026-01-19 15:15:00,ZABBIX,True,3,False,Reconfiguracion de la interfaz afectada,80,True,DESPACHAR_CUADRILLA
TKT-000013,SUR,Huila,Neiva,Urbano,INC8464856,WO-325461,414,GPON,0,1,,OLT_SUR_05,GE0/5/40,CP_SUR_007,CH_150,False,Critico,Baja,GRP_NOC_SUR,Perdida de senal en el sector,Perdida de senal en el sector (GPON) en Neiva,TEC_095,Diagnostico inicial registrado,2,False,0.0,0.0,False,0,CUADRILLA,False,2026-04-21 19:25:00,2026-04-21 23:33:00,ZABBIX,False,112,False,Cuadrilla reemplazo conector danado,248,True,DESPACHAR_CUADRILLA
TKT-000014,ANDINA,Risaralda,Pereira,Urbano,INC8934691,WO-159902,5988,GPON,0,12,,OLT_AND_26,GE0/6/28,CP_AND_018,CH_083,False,Bajo,Critica,GRP_NOC_ANDINA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (GPON) en Pereira,TEC_057,Diagnostico inicial registrado,3,False,0.0,0.0,False,0,CUADRILLA,False,2026-03-10 12:14:00,2026-03-10 14:55:00,ZABBIX,False,80,False,Empalme de fibra reparado en sitio,161,True,DESPACHAR_CUADRILLA
TKT-000015,COSTA,Atlantico,Barranquilla,Periurbano,INC5828621,WO-139127,11130,HFC,7,0,CMTS_COS_27,,GE0/1/43,CP_COS_055,CH_032,False,Critico,Critica,GRP_NOC_COSTA,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (HFC) en Barranquilla,TEC_059,Diagnostico inicial registrado,1,True,40.81,0.55,True,4,TECNICO_URGENTE,False,2026-01-09 10:35:00,2026-01-09 13:38:00,CACTI,False,202,True,Tecnico urgente por caida masiva de NODOS y ARPONES,183,True,TECNICO_URGENTE
TKT-000016,ANDINA,Risaralda,Pereira,Rural,INC8010966,WO-765137,1975,HFC,5,0,CMTS_AND_09,,GE0/0/0,CP_AND_023,,False,Alto,Critica,GRP_NOC_ANDINA,Caida total del elemento de red,Caida total del elemento de red (HFC) en Pereira,TEC_017,Diagnostico inicial registrado,4,True,45.83,0.63,True,4,AUTORRESTABLECIMIENTO,True,2026-05-01 21:14:00,2026-05-01 22:42:00,CACTI,True,7,False,Falla externa de energia; elemento volvio solo sin intervencion,88,True,ESPERAR_AUTORRESTABLECIMIENTO
TKT-000017,SUR,Tolima,Ibague,Periurbano,INC8687714,WO-532818,3997,HFC,7,0,CMTS_SUR_12,,GE0/5/30,CP_SUR_015,CH_054,False,Alto,Critica,GRP_NOC_SUR,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (HFC) en Ibague,TEC_092,Diagnostico inicial registrado,1,True,53.67,5.16,False,0,CUADRILLA,False,2026-02-19 10:22:00,2026-02-19 12:26:00,CACTI,False,182,False,Reconfiguracion de la interfaz afectada,124,True,DESPACHAR_CUADRILLA
TKT-000018,SUR,Huila,Neiva,Periurbano,INC2236671,WO-963943,2696,GPON,0,8,,OLT_SUR_17,GE0/4/36,CP_SUR_038,CH_036,True,Alto,Media,GRP_NOC_SUR,Sin comunicacion con el elemento,Sin comunicacion con el elemento (GPON) en Neiva,TEC_115,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-05-18 03:57:00,2026-05-18 09:09:00,ZABBIX,False,181,False,Reconfiguracion de la interfaz afectada,312,True,DESPACHAR_CUADRILLA
TKT-000019,ORIENTE,Norte de Santander,Cucuta,Periurbano,INC8193201,WO-565935,5400,GPON,0,12,,OLT_ORI_24,GE0/7/45,CP_ORI_006,,False,Alto,Alta,GRP_NOC_ORIENTE,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (GPON) en Cucuta,TEC_059,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-01-20 13:00:00,2026-01-20 17:54:00,ZABBIX,True,2,False,Cambio de tarjeta en el elemento,294,True,DESPACHAR_CUADRILLA
TKT-000020,COSTA,Cordoba,Monteria,Periurbano,INC5995117,WO-494113,917,HFC,7,0,CMTS_COS_04,,GE0/5/4,CP_COS_029,CH_131,False,Medio,Critica,GRP_NOC_COSTA,Perdida de senal en el sector,Perdida de senal en el sector (HFC) en Monteria,TEC_088,Diagnostico inicial registrado,2,True,54.68,5.67,False,0,CUADRILLA,False,2026-02-10 19:21:00,2026-02-10 23:57:00,CACTI,False,159,False,Cuadrilla reemplazo conector danado,276,True,DESPACHAR_CUADRILLA
TKT-000021,ORIENTE,Boyaca,Tunja,Urbano,INC1861097,WO-508885,5124,GPON,0,12,,OLT_ORI_18,GE0/3/6,CP_ORI_023,,False,Bajo,Baja,GRP_NOC_ORIENTE,Caida total del elemento de red,Caida total del elemento de red (GPON) en Tunja,TEC_086,Diagnostico inicial registrado,4,False,0.0,0.0,False,0,CUADRILLA,False,2026-05-08 21:38:00,2026-05-08 23:16:00,ZABBIX,True,2,False,Empalme de fibra reparado en sitio,98,True,DESPACHAR_CUADRILLA
TKT-000022,ANDINA,Valle del Cauca,Cali,Periurbano,INC1260995,WO-321324,1696,HFC,4,0,CMTS_AND_01,,GE0/2/24,CP_AND_055,,False,Alto,Baja,GRP_NOC_ANDINA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Cali,TEC_029,Diagnostico inicial registrado,2,True,46.98,2.7,True,5,AUTORRESTABLECIMIENTO,True,2026-04-10 23:01:00,2026-04-11 00:04:00,CACTI,True,2,False,Servicio restablecido al normalizarse la energia comercial del sector,63,True,ESPERAR_AUTORRESTABLECIMIENTO
TKT-000023,SUR,Narino,Pasto,Periurbano,INC8378196,WO-854181,1896,GPON,0,4,,OLT_SUR_20,GE0/7/1,CP_SUR_001,CH_002,False,Critico,Baja,GRP_NOC_SUR,Sin comunicacion con el elemento,Sin comunicacion con el elemento (GPON) en Pasto,TEC_054,Diagnostico inicial registrado,0,False,0.0,0.0,False,0,CUADRILLA,False,2026-05-08 05:03:00,2026-05-08 10:39:00,ZABBIX,False,83,False,Empalme de fibra reparado en sitio,336,True,DESPACHAR_CUADRILLA
TKT-000024,ANDINA,Antioquia,Medellin,Rural,INC7386203,WO-470405,170,HFC,1,0,CMTS_AND_16,,GE0/5/26,CP_AND_038,,False,Bajo,Baja,GRP_NOC_ANDINA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Medellin,TEC_021,Diagnostico inicial registrado,2,True,45.14,0.98,True,2,CUADRILLA,False,2026-04-23 14:30:00,2026-04-23 15:38:00,CACTI,False,79,False,Cuadrilla reemplazo conector danado,68,False,DESPACHAR_CUADRILLA
TKT-000025,ANDINA,Valle del Cauca,Cali,Urbano,INC9760651,WO-220685,1550,HFC,5,0,CMTS_AND_23,,GE0/2/30,CP_AND_052,CH_114,False,Alto,Critica,GRP_NOC_ANDINA,Perdida de senal en el sector,Perdida de senal en el sector (HFC) en Cali,TEC_113,Diagnostico inicial registrado,1,True,53.21,6.89,False,0,CUADRILLA,False,2026-05-22 03:08:00,2026-05-22 07:13:00,CACTI,False,117,False,Cambio de tarjeta en el elemento,245,True,DESPACHAR_CUADRILLA
TKT-000026,ORIENTE,Boyaca,Tunja,Rural,INC3845927,WO-321655,9253,GPON,0,8,,OLT_ORI_29,GE0/3/7,CP_ORI_025,CH_189,False,Critico,Critica,GRP_NOC_ORIENTE,Caida total del elemento de red,Caida total del elemento de red (GPON) en Tunja,TEC_094,Diagnostico inicial registrado,2,False,0.0,0.0,False,0,TECNICO_URGENTE,False,2026-03-13 11:08:00,2026-03-13 13:02:00,ZABBIX,False,149,True,Atencion prioritaria por dano grave multielemento,114,True,TECNICO_URGENTE
TKT-000027,COSTA,Bolivar,Cartagena,Urbano,INC1648532,WO-881667,504,GPON,0,7,,OLT_COS_11,GE0/7/24,CP_COS_048,,False,Medio,Media,GRP_NOC_COSTA,Perdida de senal en el sector,Perdida de senal en el sector (GPON) en Cartagena,TEC_101,Diagnostico inicial registrado,4,False,0.0,0.0,False,0,CUADRILLA,False,2026-02-10 19:14:00,2026-02-10 22:15:00,ZABBIX,False,182,False,Cuadrilla reemplazo conector danado,181,False,DESPACHAR_CUADRILLA
TKT-000028,COSTA,Bolivar,Cartagena,Urbano,INC7935396,WO-718897,1896,HFC,4,0,CMTS_COS_06,,GE0/5/15,CP_COS_004,CH_148,False,Critico,Media,GRP_NOC_COSTA,Intermitencia en el servicio,Intermitencia en el servicio (HFC) en Cartagena,TEC_018,Diagnostico inicial registrado,4,True,55.43,5.86,False,0,CUADRILLA,False,2026-01-18 12:21:00,2026-01-18 16:44:00,CACTI,False,167,False,Reconfiguracion de la interfaz afectada,263,True,DESPACHAR_CUADRILLA
TKT-000029,BOGOTA,Cundinamarca,Soacha,Periurbano,INC2356056,WO-375709,313,HFC,1,0,CMTS_BOG_22,,GE0/4/22,CP_BOG_010,CH_084,True,Alto,Alta,GRP_NOC_BOGOTA,Intermitencia en el servicio,Intermitencia en el servicio (HFC) en Soacha,TEC_022,Diagnostico inicial registrado,1,True,54.22,8.2,False,0,CUADRILLA,False,2026-03-17 10:50:00,2026-03-17 14:25:00,CACTI,True,6,False,Reconfiguracion de la interfaz afectada,215,True,DESPACHAR_CUADRILLA
TKT-000030,BOGOTA,Cundinamarca,Bogota,Periurbano,INC3979962,WO-534314,472,HFC,2,0,CMTS_BOG_15,,GE0/7/28,CP_BOG_043,CH_099,False,Medio,Critica,GRP_NOC_BOGOTA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Bogota,TEC_064,Diagnostico inicial registrado,4,True,55.37,7.19,False,0,CUADRILLA,False,2026-04-25 14:03:00,2026-04-25 20:03:00,CACTI,False,194,False,Empalme de fibra reparado en sitio,360,True,DESPACHAR_CUADRILLA
TKT-000031,ORIENTE,Norte de Santander,Cucuta,Rural,INC9347143,WO-721719,2112,GPON,0,11,,OLT_ORI_04,GE0/6/18,CP_ORI_021,CH_169,False,Medio,Baja,GRP_NOC_ORIENTE,Perdida de senal en el sector,Perdida de senal en el sector (GPON) en Cucuta,TEC_054,Diagnostico inicial registrado,2,False,0.0,0.0,False,0,CUADRILLA,False,2026-04-05 15:23:00,2026-04-05 17:25:00,ZABBIX,False,136,False,Empalme de fibra reparado en sitio,122,True,DESPACHAR_CUADRILLA
TKT-000032,COSTA,Magdalena,Santa Marta,Periurbano,INC4960797,WO-684705,1312,HFC,4,0,CMTS_COS_09,,GE0/1/33,CP_COS_032,,False,Bajo,Baja,GRP_NOC_COSTA,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (HFC) en Santa Marta,TEC_066,Diagnostico inicial registrado,5,False,53.91,7.81,False,0,CUADRILLA,False,2026-02-12 23:37:00,2026-02-13 06:02:00,CACTI,False,159,False,Cambio de tarjeta en el elemento,385,False,DESPACHAR_CUADRILLA
TKT-000033,COSTA,Cordoba,Monteria,Rural,INC8403246,WO-314542,1372,HFC,7,0,CMTS_COS_22,,GE0/7/35,CP_COS_038,CH_069,True,Alto,Critica,GRP_NOC_COSTA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Monteria,TEC_005,Diagnostico inicial registrado,0,True,45.44,1.72,True,9,CUADRILLA,False,2026-02-06 09:04:00,2026-02-06 15:34:00,CACTI,False,236,False,Empalme de fibra reparado en sitio,390,True,DESPACHAR_CUADRILLA
TKT-000034,ANDINA,Antioquia,Medellin,Periurbano,INC9060713,WO-649550,9557,GPON,0,10,,OLT_AND_21,GE0/5/37,CP_AND_001,,True,Critico,Critica,GRP_NOC_ANDINA,Perdida de senal en el sector,Perdida de senal en el sector (GPON) en Medellin,TEC_080,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,TECNICO_URGENTE,False,2026-01-16 14:14:00,2026-01-16 18:39:00,ZABBIX,False,210,True,Tecnico urgente por caida masiva de NODOS y ARPONES,265,True,TECNICO_URGENTE
TKT-000035,ORIENTE,Boyaca,Tunja,Urbano,INC2074088,WO-617384,1918,HFC,7,0,CMTS_ORI_25,,GE0/7/14,CP_ORI_042,CH_118,False,Critico,Critica,GRP_NOC_ORIENTE,Caida total del elemento de red,Caida total del elemento de red (HFC) en Tunja,TEC_023,Diagnostico inicial registrado,5,True,55.55,4.94,False,0,CUADRILLA,False,2026-04-18 10:48:00,2026-04-18 15:25:00,CACTI,False,118,False,Cambio de tarjeta en el elemento,277,True,DESPACHAR_CUADRILLA
TKT-000036,ORIENTE,Santander,Bucaramanga,Rural,INC9072970,WO-447689,4187,GPON,0,5,,OLT_ORI_07,GE0/3/16,CP_ORI_008,CH_017,False,Critico,Critica,GRP_NOC_ORIENTE,Caida total del elemento de red,Caida total del elemento de red (GPON) en Bucaramanga,TEC_028,Diagnostico inicial registrado,3,False,0.0,0.0,False,0,TECNICO_URGENTE,False,2026-05-25 15:52:00,2026-05-25 18:14:00,ZABBIX,False,34,True,Tecnico urgente por caida masiva de NODOS y ARPONES,142,True,TECNICO_URGENTE
TKT-000037,SUR,Tolima,Ibague,Periurbano,INC6301190,WO-707137,2488,HFC,8,0,CMTS_SUR_22,,GE0/1/28,CP_SUR_037,CH_131,False,Critico,Critica,GRP_NOC_SUR,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Ibague,TEC_031,Diagnostico inicial registrado,4,False,53.29,4.78,False,0,CUADRILLA,False,2026-03-26 06:47:00,2026-03-26 11:46:00,CACTI,False,33,False,Empalme de fibra reparado en sitio,299,True,DESPACHAR_CUADRILLA
TKT-000038,BOGOTA,Cundinamarca,Soacha,Rural,INC3374609,WO-564478,258,GPON,0,3,,OLT_BOG_10,GE0/0/20,CP_BOG_039,,False,Bajo,Alta,GRP_NOC_BOGOTA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (GPON) en Soacha,TEC_095,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-05-24 17:06:00,2026-05-24 19:58:00,ZABBIX,True,7,False,Cuadrilla reemplazo conector danado,172,True,DESPACHAR_CUADRILLA
TKT-000039,COSTA,Cordoba,Monteria,Rural,INC8025229,WO-520506,275,HFC,1,0,CMTS_COS_23,,GE0/0/43,CP_COS_042,CH_195,False,Bajo,Media,GRP_NOC_COSTA,Intermitencia en el servicio,Intermitencia en el servicio (HFC) en Monteria,TEC_101,Diagnostico inicial registrado,3,True,53.67,4.01,False,0,CUADRILLA,False,2026-01-25 00:06:00,2026-01-25 04:32:00,CACTI,False,86,False,Empalme de fibra reparado en sitio,266,False,DESPACHAR_CUADRILLA
TKT-000040,ORIENTE,Santander,Bucaramanga,Urbano,INC7356364,WO-658133,469,HFC,7,0,CMTS_ORI_20,,GE0/2/10,CP_ORI_044,,False,Bajo,Critica,GRP_NOC_ORIENTE,Perdida de senal en el sector,Perdida de senal en el sector (HFC) en Bucaramanga,TEC_057,Diagnostico inicial registrado,1,True,43.23,2.28,True,4,AUTORRESTABLECIMIENTO,True,2026-01-21 00:55:00,2026-01-21 01:12:00,CACTI,True,2,False,Servicio restablecido al normalizarse la energia comercial del sector,17,True,ESPERAR_AUTORRESTABLECIMIENTO
TKT-000041,ORIENTE,Boyaca,Tunja,Urbano,INC6406604,WO-366798,2457,HFC,7,0,CMTS_ORI_09,,GE0/6/25,CP_ORI_037,CH_179,False,Bajo,Media,GRP_NOC_ORIENTE,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (HFC) en Tunja,TEC_026,Diagnostico inicial registrado,3,True,53.02,8.59,False,0,CUADRILLA,False,2026-05-17 23:04:00,2026-05-18 02:26:00,CACTI,False,190,False,Empalme de fibra reparado en sitio,202,True,DESPACHAR_CUADRILLA
TKT-000042,SUR,Narino,Pasto,Urbano,INC9925969,WO-338489,2916,HFC,6,0,CMTS_SUR_11,,GE0/3/0,CP_SUR_042,,False,Bajo,Baja,GRP_NOC_SUR,Caida total del elemento de red,Caida total del elemento de red (HFC) en Pasto,TEC_001,Diagnostico inicial registrado,5,False,54.95,5.59,False,0,CUADRILLA,False,2026-02-05 03:46:00,2026-02-05 05:33:00,CACTI,False,56,False,Cuadrilla reemplazo conector danado,107,True,DESPACHAR_CUADRILLA
TKT-000043,ORIENTE,Norte de Santander,Cucuta,Periurbano,INC3282980,WO-657715,2580,HFC,5,0,CMTS_ORI_27,,GE0/0/42,CP_ORI_025,,False,Bajo,Baja,GRP_NOC_ORIENTE,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Cucuta,TEC_073,Diagnostico inicial registrado,1,True,52.2,6.97,False,0,CUADRILLA,False,2026-05-27 20:11:00,2026-05-27 21:03:00,CACTI,False,137,False,Cambio de tarjeta en el elemento,52,True,DESPACHAR_CUADRILLA
TKT-000044,BOGOTA,Cundinamarca,Chia,Periurbano,INC3388469,WO-260597,2321,GPON,0,10,,OLT_BOG_17,GE0/2/36,CP_BOG_043,CH_196,False,Critico,Critica,GRP_NOC_BOGOTA,Intermitencia en el servicio,Intermitencia en el servicio (GPON) en Chia,TEC_082,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,TECNICO_URGENTE,False,2026-03-20 10:24:00,2026-03-20 15:09:00,ZABBIX,False,98,True,Despliegue urgente: afectacion simultanea HFC y GPON,285,True,TECNICO_URGENTE
TKT-000045,SUR,Tolima,Ibague,Urbano,INC1029211,WO-283957,3904,HFC,8,0,CMTS_SUR_10,,GE0/3/42,CP_SUR_044,,False,Critico,Critica,GRP_NOC_SUR,Caida total del elemento de red,Caida total del elemento de red (HFC) en Ibague,TEC_052,Diagnostico inicial registrado,4,True,54.07,7.71,False,0,CUADRILLA,False,2026-03-27 10:06:00,2026-03-27 16:29:00,CACTI,False,228,False,Cuadrilla reemplazo conector danado,383,True,DESPACHAR_CUADRILLA
TKT-000046,SUR,Tolima,Ibague,Periurbano,INC2179978,WO-399033,1245,GPON,0,5,,OLT_SUR_28,GE0/7/30,CP_SUR_024,CH_070,False,Medio,Media,GRP_NOC_SUR,Intermitencia en el servicio,Intermitencia en el servicio (GPON) en Ibague,TEC_020,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-03-28 22:30:00,2026-03-29 02:38:00,ZABBIX,False,153,False,Cambio de tarjeta en el elemento,248,False,DESPACHAR_CUADRILLA
TKT-000047,COSTA,Bolivar,Cartagena,Urbano,INC9633990,WO-320272,486,GPON,0,9,,OLT_COS_08,GE0/1/4,CP_COS_028,,False,Bajo,Baja,GRP_NOC_COSTA,Intermitencia en el servicio,Intermitencia en el servicio (GPON) en Cartagena,TEC_078,Diagnostico inicial registrado,4,False,0.0,0.0,False,0,CUADRILLA,False,2026-03-13 12:03:00,2026-03-13 16:11:00,ZABBIX,False,185,False,Empalme de fibra reparado en sitio,248,False,DESPACHAR_CUADRILLA
TKT-000048,SUR,Narino,Pasto,Rural,INC2487801,WO-173631,542,HFC,2,0,CMTS_SUR_09,,GE0/2/36,CP_SUR_018,,True,Critico,Alta,GRP_NOC_SUR,Caida total del elemento de red,Caida total del elemento de red (HFC) en Pasto,TEC_031,Diagnostico inicial registrado,2,True,55.93,8.76,False,0,CUADRILLA,False,2026-05-22 07:13:00,2026-05-22 11:58:00,CACTI,True,7,False,Cuadrilla reemplazo conector danado,285,True,DESPACHAR_CUADRILLA
TKT-000049,ANDINA,Risaralda,Pereira,Rural,INC4722110,WO-155328,3501,GPON,0,9,,OLT_AND_09,GE0/6/17,CP_AND_050,,True,Medio,Critica,GRP_NOC_ANDINA,Degradacion de potencia optica,Degradacion de potencia optica (GPON) en Pereira,TEC_054,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-03-03 02:13:00,2026-03-03 09:27:00,ZABBIX,False,109,False,Cuadrilla reemplazo conector danado,434,True,DESPACHAR_CUADRILLA
TKT-000050,SUR,Cauca,Popayan,Rural,INC8429124,WO-491106,2387,GPON,0,7,,OLT_SUR_26,GE0/5/16,CP_SUR_032,CH_106,False,Alto,Media,GRP_NOC_SUR,Intermitencia en el servicio,Intermitencia en el servicio (GPON) en Popayan,TEC_044,Diagnostico inicial registrado,0,False,0.0,0.0,False,0,CUADRILLA,False,2026-05-14 00:46:00,2026-05-14 03:53:00,ZABBIX,False,36,False,Empalme de fibra reparado en sitio,187,True,DESPACHAR_CUADRILLA
